12.36	14.18	73.57	20.79	6.19
12.82	14.61	75.18	20.45	6.27
12.86	14.79	75.95	21.02	6.44
12.59	14.45	75.1	20.3	6.26
12.53	14.34	74.31	19.85	6.15
12.61	14.6	75.02	20.28	6.28
12.92	15.07	76.59	22.31	6.91
12.84	15.57	76.99	22.11	7.03
12.57	14.93	75.3	21.98	7.18
12.57	14.88	75.42	22.16	7.19
12.64	14.95	74.79	22.43	7.42
12.54	14.76	74.84	21.98	7.43
12.27	14.22	71.15	20.32	6.7
12.23	14.5	72.73	20.61	7.37
12.05	14.28	71.28	19.75	7.68
11.5	13.91	69.39	18.2	7.35
10.35	13.19	62.45	16.38	6.62
9.46	13	59.36	14.74	5.96
9.91	13.25	62.09	14.37	5.58
10.8	13.18	64.9	15.38	5.94
10.83	13.58	67.25	15.86	6.44
11.07	13.8	69.37	15.07	6.55
11.57	14.23	71.55	15.19	6.5
11.84	14.22	71.38	14.87	6.35
10.89	13.6	66.9	14.76	6.17
11	13.68	68.5	15.24	6.19
11.1	13.76	70.68	15.68	6.37
11.05	13.54	69.09	15.15	6.26
10.96	13.47	68.39	15.02	6.21
10.87	13.19	68.19	13.91	6.28
10.57	13.02	65.33	13.52	6.03
10.9	13.43	69	14.43	6.33
10.77	13.1	67	13.83	6.18
10.81	13.12	66.1	13.78	6.19
10.82	13.18	66.99	13.94	6.25
10.96	13.26	68.01	14.22	6.3
10.7	13.15	67.3	13.64	6.08
10.71	13.09	66.65	13.77	6.1
10.55	12.9	65.5	13.3	6.3
10.53	12.85	65.2	13.46	6.14
10.38	12.6	63.45	13.34	6.01
10.49	12.73	64	13.58	6.01
10.7	13.07	66.02	14.26	6.14
10.9	13.23	65.93	14.49	6.14
11.23	13.48	68.48	15.35	6.39
11.13	13.47	68.4	15.26	6.34
10.98	13.28	67.7	15.26	6.33
11.17	13.52	68.5	15.72	6.68
11.23	13.65	68.41	15.89	6.83
11.26	13.53	67.1	16.13	6.66
11.32	13.55	67.79	16.02	6.83
11.22	13.23	66.8	14.95	6.95
11.33	13.35	67.38	15.35	7.09
11.47	13.74	68.93	15.7	6.96
11.52	13.67	68.7	15.85	6.83
11.48	13.69	68.02	15.74	6.77
11.27	13.66	67.29	15.25	6.59
11.27	13.62	68.12	15.29	6.64
11.36	13.67	67.35	15.87	6.61
11.14	13.56	66.97	15.54	6.35
11.05	13.66	66.06	15.77	6.33
11.69	14.08	68.39	17.35	6.61
12.07	14.12	69.25	18.64	7.07
12.39	14.21	69.52	20.5	7.03
12.94	14.4	70.46	20.39	7.06
12.75	14.27	70.36	20.68	6.96
12.55	14.17	70.29	20.86	7.03
12.4	14.09	70.89	20.16	6.84
12.24	13.9	70.2	20.26	6.69
